student_id,stress_level,cognitive_performance,number sequences marks,perimeter marks,ratio marks,fractions/decimals marks,indices marks,algebra marks,angles marks,volume and capacity marks,area marks,probability marks,recommended_lesson
S00388,Medium,Average,6,6,8,7,6,5,9,5,6,9,algebra 
S00389,Medium,Very High,2,2,4,5,4,4,6,5,4,6,number sequences 
S00390,Medium,High,4,6,5,3,6,4,2,3,5,5,angles 
S00391,High,High,7,6,7,7,5,8,7,4,8,5,volume and capacity 
S00392,Medium,High,6,7,7,6,4,8,4,5,8,8,indices 
S00393,Medium,Average,5,6,2,2,6,6,6,4,2,2,ratio 
S00394,Medium,Average,5,5,5,5,5,3,6,4,4,3,algebra 
S00395,Medium,Average,8,9,6,5,7,5,7,9,5,5,fractions/decimals 
S00396,High,Low,1,3,0,0,3,0,1,3,2,4,ratio 
S00397,Medium,Average,5,5,6,9,8,5,9,9,6,5,number sequences 
S00398,Medium,High,8,6,8,7,6,6,8,6,5,7,area 
S00399,Low,Very High,8,5,9,9,7,7,5,9,5,7,perimeter 
S00400,High,Average,3,0,1,1,0,0,1,1,1,3,perimeter 
S00401,High,High,4,5,5,3,3,3,4,3,2,5,area 
S00402,Low,High,6,6,9,8,7,9,6,9,8,8,number sequences 
S00403,Low,High,10,10,10,10,9,10,10,10,10,7,probability 
S00404,Medium,High,2,2,6,3,5,5,6,2,2,2,number sequences 
S00405,Medium,Low,4,5,3,3,5,6,6,3,4,6,ratio 
S00406,Medium,High,6,4,6,7,8,6,4,5,5,5,perimeter 
S00407,Medium,High,4,6,7,5,5,6,8,4,5,4,number sequences 
S00408,Low,High,10,7,10,8,7,8,9,10,7,10,perimeter 
S00409,Low,Very High,9,7,8,6,7,7,7,9,7,6,fractions/decimals 
S00410,Medium,Very High,6,2,3,5,5,4,5,5,2,4,perimeter 
S00411,Low,High,9,6,10,7,9,10,6,8,7,6,perimeter 
S00412,Low,Average,7,5,6,5,4,5,6,3,3,5,volume and capacity 
S00413,Medium,Low,6,6,4,5,4,3,5,3,6,6,algebra 
S00414,Medium,Low,3,4,6,3,5,2,2,4,6,3,algebra 
S00415,High,Average,2,2,4,0,4,3,4,2,4,0,fractions/decimals 
S00416,Medium,Average,7,4,6,7,4,7,6,3,5,5,volume and capacity 
S00417,Medium,Low,3,5,6,5,6,3,2,5,2,3,angles 
S00418,Low,High,8,9,6,7,8,8,8,9,9,6,ratio 
S00419,Low,Low,8,9,9,8,5,6,5,7,8,6,indices 
S00420,Low,Low,6,6,3,4,5,5,3,6,6,7,ratio 
S00421,High,Average,5,2,1,5,1,4,3,5,1,2,ratio 
S00422,Low,Low,5,3,3,6,3,6,5,2,4,3,volume and capacity 
S00423,High,Average,3,0,1,1,1,2,2,0,2,0,perimeter 
S00424,High,Average,3,0,0,3,1,2,3,3,0,2,perimeter 
S00425,Low,High,10,9,9,10,6,8,10,10,6,10,indices 
S00426,High,Low,4,4,3,3,4,4,3,0,3,1,volume and capacity 
S00427,Low,Low,8,5,5,7,4,7,4,8,8,6,indices 
S00428,Medium,High,8,7,5,8,6,9,9,6,8,7,ratio 
S00429,High,Average,3,0,2,4,1,2,0,2,3,0,perimeter 
S00430,Medium,Very High,6,3,4,3,5,3,4,4,3,4,perimeter 
S00431,Medium,Average,5,5,6,9,7,5,9,6,5,9,number sequences 
S00432,Low,High,8,9,7,6,5,7,9,9,5,8,indices 
S00433,Low,High,8,5,9,8,5,6,6,9,5,6,perimeter 
S00434,Medium,Very High,5,8,4,4,5,8,7,8,6,4,ratio 
S00435,High,High,6,7,6,5,6,5,8,8,7,7,fractions/decimals 
S00436,Medium,Average,5,7,8,8,7,5,6,8,5,5,number sequences 
S00437,Medium,Average,4,3,6,2,5,5,3,4,3,3,fractions/decimals 
S00438,Low,High,10,7,7,8,10,10,10,7,7,7,perimeter 
S00439,Low,Very High,7,6,5,6,9,6,7,7,6,7,ratio 
S00440,High,Average,5,4,5,5,6,3,3,6,2,5,area 
S00441,Medium,Very High,7,6,8,6,7,9,7,8,8,9,perimeter 
S00442,Low,High,8,10,9,7,10,6,6,10,10,8,algebra 
S00443,Low,High,8,8,7,10,8,9,10,9,9,7,ratio 
S00444,High,Average,2,1,2,0,2,3,3,0,2,2,fractions/decimals 
S00445,Medium,High,5,6,5,6,8,6,5,8,7,8,number sequences 
S00446,Medium,Low,6,6,6,2,2,4,3,3,4,2,fractions/decimals 
S00447,Low,High,10,10,7,10,9,10,8,10,10,9,ratio 
S00448,High,Average,0,4,1,4,2,3,1,1,1,4,number sequences 
S00449,Low,High,7,7,8,8,7,9,7,10,10,10,number sequences 
S00450,Low,High,6,9,8,8,7,9,6,7,9,9,number sequences 
S00451,Low,High,9,7,6,8,9,8,9,6,6,7,ratio 
S00452,Medium,Low,7,7,5,5,4,8,7,8,5,5,indices 
S00453,Low,Low,7,5,7,7,6,6,5,5,4,5,area 
S00454,Medium,Average,6,5,4,3,4,3,6,7,6,7,fractions/decimals 
S00455,Medium,Average,5,3,3,7,7,3,6,4,4,3,perimeter 
S00456,Medium,Average,6,4,3,5,3,4,4,4,5,3,ratio 
S00457,High,Average,2,6,3,5,4,5,5,6,3,5,number sequences 
S00458,Medium,Average,6,5,9,6,9,9,5,8,9,9,perimeter 
S00459,Low,High,10,7,7,10,8,7,9,9,7,10,perimeter 
S00460,Medium,Very High,5,7,5,8,7,7,6,7,9,6,number sequences 
S00461,Medium,High,7,5,7,3,4,6,5,5,5,5,fractions/decimals 
S00462,Low,Average,6,6,4,5,6,2,5,6,4,4,algebra 
S00463,High,Low,3,4,6,6,2,2,3,5,2,5,indices 
S00464,Low,High,10,8,7,8,9,10,9,10,10,7,ratio 
S00465,High,Average,0,1,2,2,1,0,1,2,2,2,number sequences 
S00466,High,High,6,4,6,4,3,4,6,2,6,2,volume and capacity 
S00467,High,Average,0,1,3,3,0,1,2,3,2,0,number sequences 
S00468,High,High,5,5,8,5,8,9,6,7,6,5,number sequences 
S00469,Medium,Very High,6,7,9,8,8,7,9,5,8,7,volume and capacity 
S00470,Low,High,7,8,10,9,10,10,7,7,10,10,number sequences 
S00471,High,High,9,6,7,8,9,5,8,7,6,7,algebra 
S00472,Medium,Low,2,3,6,4,4,5,2,3,6,4,number sequences 
S00473,Medium,High,5,7,9,5,6,7,6,9,7,6,number sequences 
S00474,Low,Average,7,4,6,5,5,3,4,6,3,5,algebra 
S00475,Medium,Very High,5,3,7,6,6,3,5,7,5,7,perimeter 
S00476,Medium,Low,6,7,7,4,7,5,4,5,3,4,area 
S00477,Low,High,6,8,9,7,9,10,6,6,6,6,number sequences 
S00478,Medium,Very High,7,5,6,3,3,6,4,6,3,3,fractions/decimals 
S00479,Low,Average,3,5,2,3,4,3,4,6,5,5,ratio 
S00480,Medium,Low,4,6,2,3,5,3,2,5,4,6,ratio 
S00481,High,High,2,3,4,2,2,3,4,5,6,5,number sequences 
S00482,High,Low,3,3,6,2,6,6,3,3,6,6,fractions/decimals 
S00483,Low,High,10,9,10,10,10,9,8,8,10,10,angles 
S00484,High,Average,5,6,6,3,3,4,4,5,6,4,fractions/decimals 
S00485,Low,Low,2,5,5,2,5,2,6,4,5,3,number sequences 
S00486,Low,Average,6,4,7,7,4,5,8,8,7,5,perimeter 
S00487,Medium,Average,8,7,8,7,7,9,5,6,9,9,angles 
S00488,Low,Average,7,7,7,5,3,6,3,6,6,3,indices 
S00489,Low,High,9,8,9,8,8,8,8,10,7,9,area 
S00490,High,High,8,8,5,6,8,7,8,6,5,4,probability 
S00491,Medium,Very High,6,4,3,7,5,4,7,4,4,4,ratio 
S00492,Medium,Average,7,4,3,3,5,3,3,4,5,6,ratio 
S00493,Medium,Average,6,6,6,7,6,7,6,7,7,4,probability 
S00494,High,Low,4,3,5,6,4,5,5,2,5,2,volume and capacity 
S00495,Low,Average,3,6,3,3,3,2,3,2,6,2,algebra 
S00496,Low,Average,5,6,4,6,5,3,3,3,4,4,algebra 
S00497,High,Low,4,3,3,4,1,2,1,1,3,2,indices 
S00498,Medium,High,3,3,5,7,6,7,5,4,7,5,number sequences 
S00499,High,Low,3,3,5,3,3,2,3,3,1,5,area 
S00500,High,Low,0,3,1,0,0,4,2,4,3,0,number sequences 
S00501,Low,Average,4,3,7,7,4,4,4,4,4,4,perimeter 
S00502,Low,Very High,7,7,7,9,7,9,10,8,8,6,probability 
S00503,High,Average,3,3,4,1,2,3,2,3,1,5,fractions/decimals 
S00504,High,Low,2,0,0,4,3,4,4,0,0,3,perimeter 
S00505,Medium,Average,6,5,4,7,4,7,3,5,6,3,angles 
S00506,High,Low,1,5,4,2,1,4,3,2,2,5,number sequences 
S00507,Low,Low,6,5,6,4,2,5,5,6,6,5,indices 
S00508,Low,Low,7,5,8,7,7,4,5,4,8,6,algebra 
S00509,High,Average,2,0,1,2,4,0,4,4,1,1,perimeter 
S00510,High,Low,4,5,2,6,6,3,4,3,6,6,ratio 
S00511,Low,Very High,8,6,9,8,5,5,7,6,7,9,indices 
S00512,Low,Very High,8,8,10,6,6,8,7,8,8,9,fractions/decimals 
S00513,Medium,Average,8,8,7,7,8,6,7,9,5,9,area 
S00514,Medium,High,5,6,6,4,6,4,6,7,3,5,area 
S00515,Medium,Average,5,7,6,7,4,3,7,3,6,5,algebra 
S00516,Low,High,7,8,9,10,9,8,8,10,9,10,number sequences 
S00517,Low,Average,5,6,3,5,6,5,4,3,3,4,ratio 
S00518,Low,High,9,10,7,6,8,10,8,8,9,9,fractions/decimals 
S00519,High,Average,2,3,4,5,2,2,4,2,2,1,probability 
S00520,Medium,Low,6,7,6,3,7,6,3,7,5,7,fractions/decimals 
S00521,Medium,High,2,4,6,2,6,5,4,4,5,3,number sequences 
S00522,Medium,Low,6,7,6,5,6,8,8,4,8,4,volume and capacity 
S00523,Low,Low,4,7,8,6,5,6,8,6,7,5,number sequences 
S00524,Low,Very High,10,9,10,8,9,7,9,8,8,10,algebra 
S00525,Medium,High,3,5,5,7,4,7,5,6,6,3,number sequences 
S00526,Low,Average,3,3,5,6,5,5,5,6,6,6,number sequences 
S00527,High,High,5,5,5,5,3,6,5,7,4,6,indices 
S00528,High,Low,3,2,3,1,0,2,1,2,4,2,indices 
S00529,High,High,7,7,5,5,6,7,6,6,7,7,ratio 
S00530,Low,High,9,9,7,7,10,8,10,9,9,7,ratio 
S00531,High,Low,1,4,3,5,5,4,5,5,5,5,number sequences 
S00532,High,High,4,6,4,6,5,8,4,7,7,4,number sequences 
S00533,Low,High,7,9,8,7,7,9,9,6,10,9,volume and capacity 
S00534,Medium,Average,7,3,4,6,6,3,5,3,7,7,perimeter 
S00535,Low,Average,8,6,8,7,9,6,8,7,7,7,perimeter 
S00536,Medium,Low,4,6,6,6,7,4,5,8,8,6,number sequences 
S00537,High,Average,3,0,0,3,0,0,1,3,0,3,perimeter 
S00538,Medium,High,7,9,6,7,5,7,5,5,7,6,indices 
S00539,Low,Very High,5,7,7,9,5,7,8,9,5,7,number sequences 
S00540,Low,Low,5,8,6,6,7,7,9,8,9,5,number sequences 
S00541,Medium,Average,6,5,5,5,2,3,5,6,4,4,indices 
S00542,Low,Average,7,7,6,5,5,4,6,7,4,7,algebra 
S00543,Medium,High,5,9,5,7,5,6,7,5,5,8,number sequences 
S00544,Medium,Average,8,6,6,6,6,9,6,6,6,6,perimeter 
S00545,Medium,Average,7,6,9,7,9,8,5,8,5,8,angles 
S00546,High,Average,2,4,4,1,4,5,5,1,1,2,fractions/decimals 
S00547,Medium,Average,3,5,6,3,4,3,7,6,4,6,number sequences 
S00548,Low,Very High,10,10,8,10,10,7,8,7,6,9,area 
S00549,Low,High,7,7,8,7,8,10,10,10,8,8,number sequences 
S00550,High,Low,2,6,5,5,2,6,3,6,4,4,number sequences 
S00551,High,Low,4,5,1,4,2,5,5,2,2,5,ratio 
S00552,Medium,High,6,4,4,3,6,5,7,6,3,5,fractions/decimals 
S00553,Medium,High,7,6,7,5,3,5,5,6,7,5,indices 
S00554,High,Low,2,0,3,0,4,1,3,0,1,4,perimeter 
S00555,Medium,Average,5,3,4,6,4,4,4,3,6,6,perimeter 
S00556,High,High,6,5,5,9,7,6,5,8,9,9,perimeter 
S00557,High,Low,3,4,3,2,3,3,3,3,2,6,fractions/decimals 
S00558,High,Low,3,4,2,3,1,5,2,5,5,5,indices 
S00559,Low,Very High,5,9,9,9,5,6,6,8,8,6,number sequences 
S00560,High,Average,0,0,0,2,3,3,2,0,3,0,number sequences 
S00561,Low,Very High,7,10,6,8,9,8,7,8,8,9,ratio 
S00562,Medium,Average,7,6,5,8,8,4,6,6,8,7,algebra 
S00563,Low,High,6,6,7,8,7,8,7,8,6,10,number sequences 
S00564,Low,High,5,7,5,5,9,7,7,8,7,6,number sequences 
S00565,Medium,Low,5,7,6,6,5,5,6,8,8,6,number sequences 
S00566,Medium,High,7,5,5,8,5,7,6,7,5,5,perimeter 
S00567,Medium,Low,5,4,4,7,5,6,6,7,7,7,perimeter 
S00568,High,Average,4,2,2,1,3,2,1,4,2,4,fractions/decimals 
S00569,Low,Average,7,8,4,7,8,5,5,6,8,6,ratio 
S00570,High,Low,0,3,3,1,2,1,1,0,0,3,number sequences 
S00571,Low,Very High,10,9,7,10,8,9,9,10,10,9,ratio 
S00572,Medium,Average,4,4,3,5,4,5,3,5,3,5,ratio 
S00573,High,Low,2,1,3,4,3,1,3,3,1,2,perimeter 
S00574,Medium,Average,9,5,7,5,5,5,5,8,7,9,perimeter 
S00575,Low,Average,8,8,7,8,5,4,6,5,6,8,algebra 
S00576,Medium,Average,3,4,5,2,3,4,3,4,2,4,fractions/decimals 
S00577,Medium,Average,9,6,5,8,8,7,8,9,6,5,ratio 
S00578,High,Low,4,3,4,4,4,2,2,1,3,2,volume and capacity 
S00579,Low,High,7,9,10,7,10,8,7,9,10,10,number sequences 
S00580,Low,High,10,10,10,7,10,10,7,9,10,7,fractions/decimals 
S00581,Medium,High,6,4,5,8,8,6,7,5,5,8,perimeter 
S00582,High,High,3,2,4,2,3,2,6,6,6,2,perimeter 
S00583,Low,High,7,7,9,5,6,9,8,8,6,8,fractions/decimals 
S00584,Medium,High,8,8,9,9,9,6,7,7,5,5,area 
S00585,Medium,High,2,5,4,2,4,3,3,2,4,4,number sequences 
S00586,Medium,Average,8,5,9,7,6,5,6,7,7,8,perimeter 
S00587,Medium,Average,2,6,3,2,5,5,3,6,2,4,number sequences 
S00588,Low,Low,4,5,4,5,4,3,4,3,4,6,algebra 
S00589,Medium,Average,9,9,5,8,7,7,7,5,9,8,ratio 
S00590,Medium,High,7,5,8,7,8,7,6,8,9,7,perimeter 
S00591,Medium,High,5,3,2,4,3,3,6,3,3,3,ratio 
S00592,High,Average,3,3,1,2,1,5,5,2,1,5,ratio 
S00593,Low,Very High,10,7,7,9,8,7,8,8,7,8,perimeter 
S00594,High,Low,2,5,3,6,3,6,2,2,6,2,number sequences 
S00595,Medium,Low,5,4,2,4,2,5,6,4,5,3,ratio 
S00596,Medium,Average,6,8,6,5,6,7,9,8,7,9,fractions/decimals 
S00597,Medium,Low,2,3,5,4,2,4,4,6,4,6,number sequences 
S00598,Low,Very High,10,8,10,9,10,8,10,10,8,9,perimeter 
S00599,Medium,High,7,5,7,6,7,5,3,4,7,6,angles 
S00600,High,Average,3,5,4,3,4,5,4,4,3,3,number sequences 
S00601,Medium,Average,4,5,4,8,8,5,6,5,6,6,number sequences 
S00602,Medium,High,8,4,7,5,6,7,4,4,7,5,perimeter 
S00603,Medium,Low,7,6,4,7,5,8,8,4,4,8,ratio 
S00604,High,Average,4,4,3,1,1,1,4,5,5,3,fractions/decimals 
S00605,High,Low,2,1,4,3,4,4,1,1,2,3,perimeter 
S00606,High,Low,3,5,3,5,2,2,2,3,3,2,indices 
S00607,Medium,High,9,5,8,5,6,5,7,5,8,5,perimeter 
S00608,High,Low,0,0,3,2,0,0,0,0,0,1,number sequences 
S00609,Medium,Low,9,6,9,5,5,6,9,5,9,5,fractions/decimals 
S00610,Medium,Average,6,8,8,8,8,6,6,5,7,7,volume and capacity 
S00611,High,Low,3,3,3,3,5,5,4,6,4,4,number sequences 
S00612,Medium,Average,6,6,6,5,4,6,7,7,8,4,indices 
S00613,High,Low,3,1,0,0,3,0,0,3,1,2,ratio 
S00614,High,Low,4,1,5,5,3,1,1,1,5,1,perimeter 
S00615,Medium,Average,5,4,3,4,6,3,4,3,7,4,ratio 
S00616,High,Low,3,1,2,3,0,1,2,1,2,3,indices 
S00617,High,Low,2,4,2,3,4,0,0,1,3,1,algebra 
S00618,High,Low,0,0,0,3,0,1,2,1,2,0,number sequences 
S00619,Medium,Very High,4,7,4,4,7,4,8,4,5,7,number sequences 
S00620,Medium,High,8,4,8,5,5,7,8,8,8,4,perimeter 
S00621,Medium,High,4,3,4,7,3,3,7,3,6,6,perimeter 
S00622,Medium,High,8,5,9,6,5,5,9,5,5,6,perimeter 
S00623,Low,High,7,9,5,6,6,8,9,8,6,8,ratio 
S00624,Medium,Average,7,6,9,7,9,9,6,8,5,9,area 
S00625,Medium,Average,5,4,8,7,5,5,8,4,6,5,perimeter 
S00626,High,Average,1,0,2,0,2,3,2,0,3,0,perimeter 
S00627,Medium,Low,6,6,5,4,5,6,7,8,7,5,fractions/decimals 
S00628,Medium,Average,4,6,2,5,6,6,6,4,4,4,ratio 
S00629,High,Low,1,3,2,2,2,1,3,3,1,4,number sequences 
S00630,Low,Average,6,4,5,4,3,4,3,2,3,4,volume and capacity 
S00631,Medium,Average,6,7,8,4,4,8,6,6,6,7,fractions/decimals 
S00632,Medium,Average,4,7,5,7,6,6,8,8,6,4,number sequences 
S00633,Low,Average,6,9,7,9,7,9,5,5,9,6,angles 
S00634,High,Low,4,3,4,1,2,3,3,4,5,5,fractions/decimals 
S00635,Low,Average,3,2,3,6,3,6,5,2,3,4,perimeter 
S00636,Low,Average,5,6,6,7,7,9,9,8,6,7,number sequences 
S00637,Medium,Average,4,7,4,6,5,5,6,7,6,6,number sequences 
S00638,High,Average,4,0,1,4,3,2,0,1,0,2,perimeter 
S00639,Low,Low,8,7,7,6,8,7,5,7,8,5,angles 
S00640,High,Average,2,1,4,4,0,1,2,4,1,4,indices 
S00641,High,High,4,3,7,7,4,4,6,4,5,6,perimeter 
S00642,Low,Low,7,7,8,8,4,8,4,8,6,5,indices 
S00643,Medium,Average,5,6,6,7,3,6,3,3,6,4,indices 
S00644,Medium,High,5,5,8,4,8,8,5,7,7,4,fractions/decimals 
S00645,Low,High,9,9,10,8,10,8,7,9,9,7,angles 
S00646,Low,Very High,10,9,7,7,8,8,10,9,7,10,ratio 
S00647,High,Low,2,3,5,5,5,5,5,3,2,5,number sequences 
S00648,High,Low,6,5,6,6,2,3,4,2,6,4,indices 
S00649,Medium,Average,6,6,7,9,6,7,6,7,8,5,probability 
S00650,Low,Average,6,4,3,3,5,2,6,2,5,2,algebra 
S00651,Low,Low,2,4,2,6,4,3,4,2,5,4,number sequences 
S00652,High,Low,2,3,2,3,2,5,3,5,2,5,number sequences 
S00653,Low,Average,5,5,7,3,5,4,5,3,7,7,fractions/decimals 
S00654,Medium,Very High,9,6,5,8,8,6,5,7,8,9,ratio 
S00655,High,Average,3,0,1,2,2,0,1,0,2,1,perimeter 
S00656,High,Average,1,1,2,4,2,1,4,0,0,0,volume and capacity 
S00657,High,Low,1,1,3,0,1,2,0,1,1,0,fractions/decimals 
S00658,Low,Average,2,3,4,3,5,3,6,6,3,6,number sequences 
S00659,Medium,High,4,5,6,4,5,5,6,4,7,4,number sequences 
S00660,Medium,Low,8,8,8,6,6,6,4,7,5,7,angles 
S00661,Medium,Very High,3,3,7,5,6,3,4,5,5,5,number sequences 
S00662,High,Low,2,4,2,0,1,0,2,2,2,3,fractions/decimals 
S00663,High,High,6,5,6,3,3,3,6,5,3,3,fractions/decimals 
S00664,Medium,High,4,3,4,5,2,2,2,4,3,5,indices 
S00665,High,High,7,6,7,9,6,7,9,7,6,7,perimeter 
S00666,High,Average,2,2,4,3,2,2,4,0,1,4,volume and capacity 
S00667,Medium,Very High,6,9,8,9,5,8,5,6,8,6,indices 
S00668,Medium,High,5,7,8,8,4,8,8,7,6,8,indices 
S00669,High,Low,1,3,5,4,2,1,2,4,1,4,number sequences 
S00670,High,Low,4,6,2,4,3,4,6,6,5,2,ratio 
S00671,Low,Average,4,6,4,4,2,2,4,4,5,2,indices 
S00672,Medium,High,2,3,6,5,2,6,6,3,4,6,number sequences 
S00673,Medium,Average,9,5,8,5,8,5,5,7,7,8,perimeter 
S00674,High,Low,2,1,2,1,3,0,4,0,2,3,algebra 
S00675,Medium,High,5,6,7,8,8,5,5,5,4,4,area 
S00676,Medium,Very High,9,8,8,5,5,9,9,6,9,7,fractions/decimals 
S00677,Medium,High,4,3,2,6,5,5,4,2,6,4,ratio 
S00678,Medium,Average,8,8,5,6,6,6,7,6,8,9,ratio 
S00679,Medium,Average,8,9,9,5,8,5,8,6,9,8,fractions/decimals 
S00680,Medium,High,3,4,6,5,3,7,6,3,4,7,number sequences 
S00681,Low,High,7,10,10,10,8,8,9,8,6,8,area 
S00682,Medium,High,2,6,5,2,6,6,3,2,4,5,number sequences 
S00683,Low,High,7,7,8,9,10,8,10,9,7,6,probability 
S00684,Medium,Low,4,5,4,6,3,4,6,3,5,7,indices 
S00685,High,Average,0,1,1,0,2,0,2,3,2,0,number sequences 
S00686,Low,Very High,7,5,9,8,8,7,5,7,9,9,perimeter 
S00687,Low,Average,5,4,5,6,5,5,4,3,7,5,volume and capacity 
S00688,High,Average,0,0,2,0,0,0,0,3,2,0,number sequences 
S00689,Medium,Low,9,7,5,6,5,5,7,7,6,5,ratio 
S00690,Low,Very High,5,6,5,8,5,5,5,6,5,9,number sequences 
S00691,Medium,High,8,8,8,7,4,4,5,7,4,7,indices 
S00692,High,Low,3,4,2,1,2,2,1,3,1,3,fractions/decimals 
S00693,Low,High,8,8,6,5,7,6,6,7,7,6,fractions/decimals 
S00694,Medium,Average,5,5,5,2,3,2,2,3,6,2,fractions/decimals 
S00695,Medium,Very High,6,7,5,6,6,7,4,6,8,4,angles 
S00696,High,High,4,4,4,4,8,6,7,5,4,7,number sequences 
S00697,Medium,Low,4,4,3,5,5,6,6,6,3,6,ratio 
S00698,Low,Average,7,6,5,7,4,5,3,5,7,4,angles 
S00699,Low,Very High,10,7,9,7,7,9,8,10,7,10,perimeter 
S00700,Low,Very High,10,10,9,8,9,7,10,7,10,7,algebra 
S00701,High,Average,2,2,4,4,3,3,4,1,3,4,volume and capacity 
S00702,Low,Average,4,5,4,5,7,8,4,4,5,4,number sequences 
S00703,Low,High,6,9,9,10,9,6,9,6,6,6,number sequences 
S00704,Low,High,6,5,9,7,5,6,7,7,5,7,perimeter 
S00705,Low,Very High,5,7,8,7,5,5,6,5,5,6,number sequences 
S00706,High,Low,0,0,0,3,0,3,2,0,0,2,number sequences 
S00707,Medium,Average,7,6,7,6,5,5,6,8,6,8,indices 
S00708,High,Low,4,1,3,3,5,5,4,5,5,3,perimeter 
S00709,Medium,Average,5,2,5,5,4,4,2,5,4,6,perimeter 
S00710,Low,Very High,9,8,8,10,10,7,10,10,10,8,algebra 
S00711,High,Average,3,2,0,3,0,0,0,2,0,1,ratio 
S00712,High,Low,3,0,1,1,2,3,0,1,0,1,perimeter 
S00713,High,Average,0,1,1,0,1,3,2,1,2,3,number sequences 
S00714,Low,Average,5,5,9,7,9,8,8,7,6,6,number sequences 
S00715,High,Average,3,2,2,3,3,1,3,0,4,2,volume and capacity 
S00716,Low,Average,7,5,6,6,5,7,7,5,4,5,area 
S00717,High,Average,5,3,2,4,5,2,2,2,3,2,ratio 
S00718,Low,Average,7,8,6,4,4,4,8,6,6,5,fractions/decimals 
S00719,High,Average,2,6,5,2,3,6,3,2,5,5,number sequences 
S00720,Low,Low,6,6,7,4,4,6,5,7,5,6,fractions/decimals 
S00721,Medium,Low,5,7,4,6,7,4,6,3,6,3,volume and capacity 
S00722,High,Average,2,0,0,0,2,0,2,1,1,0,perimeter 
S00723,Medium,Average,9,9,8,9,9,9,6,7,7,5,probability 
S00724,Medium,Low,6,6,3,5,6,4,5,3,6,6,ratio 
S00725,Medium,Low,3,6,3,4,7,7,6,7,5,4,number sequences 
S00726,Low,Low,5,6,5,6,4,6,4,4,8,7,indices 
S00727,Low,High,6,7,8,10,10,8,9,8,8,9,number sequences 
S00728,High,Low,3,0,1,1,2,4,4,2,3,4,perimeter 
S00729,Medium,Average,5,4,3,7,4,7,5,7,4,7,ratio 
S00730,Medium,High,6,2,3,2,5,3,2,3,2,5,perimeter 
S00731,Medium,High,3,6,6,3,6,5,4,2,3,5,volume and capacity 
S00732,Medium,Low,6,7,3,4,6,3,7,7,6,5,ratio 
S00733,Medium,Very High,3,3,3,3,5,4,7,4,3,7,number sequences 
S00734,Low,Low,3,4,3,6,7,5,7,3,7,6,number sequences 
S00735,High,Average,6,6,5,6,4,6,2,6,5,6,angles 
S00736,High,Low,2,5,5,4,2,5,2,4,2,2,number sequences 
S00737,High,Low,2,1,0,1,0,0,3,0,3,1,ratio 
S00738,Medium,Very High,6,8,6,7,8,5,6,9,9,6,algebra 
S00739,Low,Very High,5,7,7,5,8,8,7,6,8,5,number sequences 
S00740,Medium,Low,2,6,4,2,5,5,3,5,3,3,number sequences 
S00741,High,High,8,6,6,6,4,5,6,4,6,6,indices 
S00742,Medium,Average,4,2,2,2,5,6,6,4,2,2,perimeter 
S00743,Medium,Very High,5,4,5,4,4,4,6,3,6,3,volume and capacity 
S00744,High,Low,1,0,3,3,0,3,3,2,0,2,perimeter 
S00745,Medium,High,2,6,6,2,2,4,6,5,2,3,number sequences 
S00746,Medium,Average,5,5,7,3,3,6,6,6,5,4,fractions/decimals 
S00747,Medium,Average,3,6,2,6,6,3,2,4,4,6,ratio 
S00748,High,Low,2,3,1,3,1,2,1,2,3,4,ratio 
S00749,Low,High,8,10,9,8,10,8,10,8,10,9,number sequences 
S00750,Medium,Average,3,4,4,4,6,7,3,4,6,3,number sequences 
S00751,High,Average,2,4,2,5,5,1,2,4,3,5,algebra 
S00752,Medium,High,5,8,5,7,6,9,5,7,5,6,number sequences 
S00753,Low,High,9,9,9,7,8,8,6,5,5,5,volume and capacity 
S00754,Medium,Average,4,7,4,3,3,4,6,7,3,5,fractions/decimals 
S00755,Low,High,7,6,10,10,7,6,9,6,8,9,perimeter 
S00756,High,Low,0,0,1,4,2,0,1,3,2,1,number sequences 
S00757,Low,Low,8,9,9,8,8,5,5,7,8,8,algebra 
S00758,Medium,High,3,5,6,6,6,4,7,4,4,3,number sequences 
S00759,Medium,High,7,8,6,7,6,8,6,9,8,5,probability 
S00760,High,Average,2,1,1,1,4,4,1,1,4,1,perimeter 
S00761,Low,Average,6,7,8,8,8,5,5,8,9,9,algebra 
S00762,Medium,Average,5,5,5,6,6,5,5,6,6,6,number sequences 
S00763,Low,High,9,8,8,8,5,9,5,8,9,7,indices 
S00764,Medium,Low,6,5,5,8,8,6,8,8,6,9,perimeter 
S00765,Medium,Average,4,5,6,8,8,4,4,8,5,6,number sequences 
S00766,High,Average,5,2,4,5,1,1,5,5,4,1,indices 
S00767,High,Low,1,1,0,0,0,2,0,2,3,1,ratio 
S00768,High,High,6,7,6,5,4,6,5,5,7,5,indices 
S00769,High,Average,5,6,4,4,2,5,6,5,5,6,indices 
S00770,Medium,Average,3,2,6,3,5,3,5,4,5,6,perimeter 
S00771,Medium,High,9,6,9,6,9,9,8,7,5,9,area 
S00772,Low,Average,4,5,4,5,3,4,3,4,7,5,indices 
S00773,Medium,Average,9,8,6,9,9,8,8,5,8,7,volume and capacity 
S00774,Medium,High,2,4,2,2,6,6,6,6,5,6,number sequences 
S00775,High,Low,2,1,3,0,3,3,4,3,0,2,fractions/decimals 
S00776,Medium,Average,3,4,6,4,2,6,5,4,3,5,indices 
