No,Age,Male/Female,number sequences marks,number sequences time(s),number sequences duration,number sequences answered,perimeter marks,perimeter time(s),perimeter duration,perimeter answered,ratio marks,ratio time(s),ratio duration,ratio answered,fractions/decimals marks,fractions/decimals time(s),fractions/decimals duration,fractions/decimals answered,indices marks,indices time(s),indices duration,indices answered,algebra marks,algebra time(s),algebra duration,algebra answered,angles marks,angles time(s),angles duration,angles answered,volume and capacity marks,volume and capacity time(s),volume and capacity duration,volume and capacity answered (1),area arks,area time(s),area duration,area answered (2),probability marks,probability time(s),probability duration,probability answered (4),Total,Pre-Marks,Pure math marks (47),Applied math mark (53),No of questions attempted (21),Preferred Study Method,Preferred Lesson,Disliked lesson,fav subject,disliked subject
183,15,F,4,92,156,2,3.702388650952524,562,174,2,6,201,69,2,6,282,714,1,0.0,430.67718520287053,0,0,3,1536,4,2,5,75,354,2,2,1859.5029586305257,0,1,3,1940.6668423097199,446,2,2,2428.204164261536,469,2,49.08738363708325,2,28.5,25.735024051947658,16,practicing,fractions,decimals,health,PTS
184,15,M ,4,103,129,2,2.6986890821925598,283,234,2,3,724,45,2,3,828,588,1,0.0,765.8816443560681,105,1,10,1430,309,0,2,2431,306,2,2,326.3853559905335,331,1,1,2719.313620206236,137,1,1,1274.3777992405958,233,3,6.0,40,22.513471462420263,8.01621172157179,21,Only school lessons,equations,simultaneous equations,health,PTS
185,14,F,5,157,224,2,3.1016972381794794,201,264,2,7,811,269,2,2,0,648,1,0.0,931.3956633913651,403,1,5,1969,721,2,13,3,557,2,0,2428.0,0,1,0,1137.2285600883108,174,1,8,2435.0,220,2,23.18767559722009,15,15.355197289943666,11.277001968322267,17,figures,fractions,none,maths,buddhism
186,14,M,3,148,170,2,3.5798198927009937,464,232,2,3,782,331,1,4,1027,260,2,0.0,0.0,78,1,9,1589,252,1,11,2311,602,2,4,668.5666857689895,33,1,1,1821.9167153580522,41,2,6,1550.566996707653,541,2,14.307540563566068,18,15.416780550986788,11.422726670218594,21,Only school lessons,angles,volume and capacity,english,home science
187,14,M,2,161,40,1,2.3646839771656674,238,193,2,4,404,363,2,1,1041,446,1,0.0,592.5243144736935,179,2,6,1327,33,1,13,945,461,1,0,1322.2099795062804,113,1,0,720.0353898944521,758,2,1,0.0,507,3,18.048642545048228,69,14.11901953141898,20.231394921289773,16,practicing,angles,volume and capacity,maths,tamil
188,14,F,4,217,189,2,4.745235807985951,706,266,2,8,371,72,1,0,433,308,1,0.9679784988747944,1955.289891283574,0,2,5,1552,347,2,11,1945,263,2,2,837.3808252668837,360,1,1,909.9129745152588,422,1,1,2435.0,89,2,16.390294293503214,7,9.62247441924724,18.60720631687136,17,practicing,fractions,set theory,sinala,sinhla
189,15,M,4,283,281,2,2.0,483,158,2,6,615,178,2,2,353,248,1,1.3760570067292683,973.6219008411468,341,0,5,1747,200,1,8,1925,577,2,1,0.0,423,1,0,880.6150939756961,1009,2,1,1897.9864286040413,473,1,34.40889316029219,8,18.313568353923966,12.902079440108885,20,Only school lessons,angles,area,health,sinhla
190,15,M,5,135,173,2,3.6701591393832134,189,176,2,7,487,15,2,4,459,497,1,0.5149362138978377,1480.5393722064805,374,2,1,386,166,2,3,1310,379,2,0,1642.7515845781115,0,1,2,2118.8535545218942,1120,2,5,1896.4838580939336,385,1,56.8153928985452,9,14.781991348710186,37.0,16,Only school lessons,fractions,geometry,buddhism,none
191,14,M ,2,128,236,1,2.8468405157855052,303,409,2,8,902,15,2,0,972,145,2,0.17414431331178729,264.98346230339394,23,1,3,863,62,0,10,2431,459,2,0,0.0,0,1,3,1701.9552474832933,309,1,2,587.1421788359049,735,4,6.45155188565122,10,2.0,29.815581701566494,18,figures,angles,decimals,home science,tamil
192,14,M,3,144,243,2,4.89434570388714,278,105,2,5,273,339,2,5,999,846,2,0.0,594.2652230685601,0,2,1,102,80,2,10,2095,210,1,1,2123.8539369491227,342,1,2,1176.864555930411,0,1,0,1630.3247049004772,538,3,30.315596335417894,18,6.560068493859076,22.94483176996462,17,practicing,percentages,set theory,dancing,home science
193,14,M ,5,197,40,2,2.0,110,272,2,2,478,88,2,0,516,297,2,0.0,72.75532612163181,297,0,9,2036,236,1,5,2431,343,2,0,2289.6224279593976,128,1,1,1105.8486600215429,936,2,0,2435.0,422,3,18.297935072410525,6,15.39021372491241,17.994032528343347,14,practicing,area,probability,english,buddhism
194,14,M,5,272,158,2,3.426575470352214,469,56,2,8,191,166,2,10,1587,188,1,0.0,518.8422576391281,0,2,2,1249,235,2,13,1776,72,1,3,976.7866456199772,169,1,4,1640.7035745857272,252,2,0,72.80909614895268,181,2,24.27061000902266,8,23.563538639607827,15.82715904468192,12,Only school lessons,equations,area,none,maths
195,14,M ,2,218,152,2,2.0,438,275,2,10,363,152,2,0,1160,780,2,1.127590684467485,386.2529467463776,404,1,5,1843,0,1,4,2431,265,2,2,717.8937044240328,0,0,3,1970.371676557983,872,1,2,0.0,342,2,6.0,2,18.624088894191175,25.835455853260488,13,practicing,number sequeces,probability,home science,geography
196,14,M ,3,111,171,2,3.832667160975669,503,286,2,8,371,205,2,0,833,0,1,1.033757932737604,2210.0,383,1,10,1449,32,2,7,1336,83,2,1,575.9293978910189,0,0,1,715.0679852485966,742,2,10,2435.0,260,3,52.34176081161179,3,14.787462564452515,20.888623381253257,16,figures,angles,none,civics,buddhism
197,14,M,5,337,293,2,3.7687987447153604,358,190,2,4,374,299,1,4,249,1029,1,1.106310840725402,1009.6280596374717,0,2,3,1428,272,1,11,664,883,2,2,982.1591631147791,370,1,0,1331.995039690735,55,0,3,2317.209618952178,337,1,12.146865653431007,3,15.291635400258542,32.85140442066744,21,figures,angles,volume and capacity,civics,maths
198,13,F,2,131,337,2,2.361187342419739,611,341,2,6,462,139,1,9,81,513,2,0.0,1784.7325820774554,0,2,3,870,120,0,13,1335,238,2,2,2322.3856166494616,380,0,0,2725.0,0,2,6,826.0196007730077,215,4,27.62389527547331,69,5.965287791619616,3.0,15,practicing,perimeter,area,english,PTS
199,15,F,6,40,103,2,3.723603601059249,110,56,2,11,175,222,2,0,828,1088,1,0.41461594282239805,226.04982520109718,346,2,4,295,146,0,1,1566,481,2,0,948.6034853303807,0,1,0,2451.458706032048,34,2,0,1442.9767159254088,714,3,33.25289575064756,Ab,28.5,11.984896141639819,21,figures,area,fractions,civics,science
200,14,M ,3,43,132,1,5.0,443,118,2,4,661,196,2,5,1578,851,1,0.24777132016092152,119.49400957670741,72,2,5,812,179,1,4,1240,72,2,0,1667.0361579280946,94,1,1,2725.0,1163,2,4,2435.0,0,1,62.5,28,13.39144231415471,26.47146331681539,15,practicing,equations,simultaneous equations,sinala,none
201,14,M ,3,214,91,2,2.212642533814528,524,67,2,9,614,24,1,6,347,722,1,0.0,0.0,374,2,9,1693,623,1,11,1865,604,2,2,2428.0,346,1,0,2471.1491187843235,0,1,0,2435.0,512,1,30.080559094375836,18,21.66200108616748,8.942282799260623,19,Only school lessons,equations,area,sinhala,sinhla
202,13,M,2,106,204,1,2.4232799940935514,472,383,2,6,692,147,2,3,1143,737,2,1.280738549758978,1234.9025790638057,497,1,12,1248,323,2,13,1804,554,2,1,140.4202772528804,272,0,1,1894.1373713523153,319,2,0,2135.41848072591,417,2,10.173009693985517,9,28.5,20.52245472266586,17,practicing,set theory,geometry,home science,tamil
203,15,M,5,199,78,1,4.363324800438075,110,271,2,3,377,317,2,0,689,780,1,0.22396824069647656,861.1015842290263,528,1,6,821,115,2,11,1959,72,2,1,409.61445062861026,458,1,0,1672.8760738850049,0,0,0,1355.7082926128005,653,2,6.0,40,13.026908141480735,29.673371943005442,18,figures,angles,simultaneous equations,english,PTS
204,15,F,4,171,40,2,3.2349445212031123,447,235,2,6,763,18,2,11,971,704,2,0.1111329838824387,1077.137970819651,96,1,8,739,230,2,8,2033,153,2,2,1145.9063451031384,164,1,0,1452.6654142178145,0,2,7,2141.462131269791,0,4,25.520252646611638,35,22.388022669323874,22.84466382003795,17,practicing,fractions,simultaneous equations,history,science
205,13,M,4,40,266,1,3.2835819206739343,521,271,2,2,600,163,2,0,0,376,2,0.0,38.08431612263769,140,2,0,1470,10,1,9,1309,366,2,1,751.0508801499689,74,1,0,2725.0,786,2,3,2435.0,690,0,32.24667038015203,8,9.373809071032674,12.126199160000109,10,practicing,equations,decimals,sinhala,maths
206,14,M ,4,122,129,1,2.0,439,397,2,11,495,67,2,0,0,392,2,0.3876297247661869,889.8049910769773,104,1,2,1555,13,2,11,2431,697,2,3,2237.021968928223,320,1,0,508.1973505980857,410,1,6,2435.0,84,4,14.230949219572505,25,24.62503685930946,17.24691347913556,14,figures,probability,geometry,dancing,tamil
207,14,M ,4,200,106,2,2.6169891448864817,247,173,2,7,588,202,2,6,0,70,2,1.7089784466834297,1256.0495794396804,340,1,0,2036,230,1,8,1982,544,2,0,0.0,197,1,1,1353.7172901100623,11,2,9,2435.0,129,4,59.48296601252559,2,28.5,9.3554430830933,13,practicing,fractions,percentages,home science,buddhism
208,15,M ,5,132,65,2,3.3857824541722787,247,350,2,10,487,288,2,4,599,543,1,0.0,1776.0397782370896,458,0,4,1106,5,2,6,1540,682,1,2,1630.6312373980427,198,1,1,1110.0681840301227,0,1,5,1968.9736851206467,86,1,26.6647215738285,40,18.841983733334658,6.897706038122095,17,Only school lessons,equations,probability,maths,tamil
209,15,M,4,186,127,2,2.787379369568444,456,56,2,7,427,81,2,7,330,925,2,0.49368013018562307,1057.1731336897274,454,2,3,1427,507,1,13,248,74,1,1,0.0,44,1,1,2350.0222791310016,728,2,4,1110.091219091424,207,3,59.21559215229922,18,26.56126216311806,21.6985657081095,16,practicing,equations,fractions,maths,health
210,15,F,4,213,158,2,4.774056149841252,503,289,2,2,690,64,2,7,789,643,2,0.7250442007248523,1623.2916061233432,228,1,11,1137,399,2,10,1262,552,2,2,1514.730934720214,363,1,5,2288.7506193400113,177,1,2,675.0017582082571,160,3,57.4687698131893,42,20.526901454741438,3.0,13,Only school lessons,angles,circle theory,english,maths
211,14,M ,5,152,40,2,2.234598885261269,201,210,2,0,327,270,2,0,1281,397,1,1.4079391463686788,1048.9221767214094,123,1,6,1973,0,2,11,1205,72,2,1,0.0,0,1,1,2507.302445274335,752,1,6,397.03886592115464,16,1,45.72015219082505,28,20.52994489563509,11.1877177407512,18,figures,area,area,sinhala,PTS
212,14,F,5,263,223,2,2.3814324612145494,380,410,2,6,367,287,2,3,649,286,2,0.3096506314875037,490.64166949486855,278,0,8,984,0,2,4,1517,300,2,1,2428.0,460,1,1,1095.4291858288311,210,1,2,2435.0,1,2,52.93115474332453,7,28.5,28.54862852058536,15,Only school lessons,number sequeces,set theory,maths,health
213,15,F,3,80,89,2,3.4787505842896964,214,108,2,4,678,61,2,3,302,578,1,0.0,298.51611599371745,0,1,5,2036,374,1,11,2431,445,2,3,0.0,4,1,0,1712.5263568558896,142,2,8,2435.0,8,3,37.49790099369042,5,14.053506299416053,24.856422685481594,11,Only school lessons,angles,roman numbers,dancing,home science
214,15,M ,5,166,193,2,2.376659761190959,110,196,2,6,287,397,2,5,1741,0,1,0.0,1506.7070017543929,113,1,1,1031,419,2,10,1225,396,2,1,1265.1108346427338,923,1,1,2195.294263132044,652,2,0,0.0,477,3,20.243654083229245,Ab,9.94443591519418,27.81554358427867,15,practicing,set theory,percentages,civics,history
215,13,M ,5,155,40,2,3.6981466395447615,564,241,2,7,312,190,2,1,1178,690,2,1.1634719917656138,1767.8483868844255,0,1,4,1023,108,2,8,2385,287,1,0,1409.8670045958122,269,1,3,2725.0,557,1,5,0.0,252,2,37.612401774637604,78,26.43040839615942,4.870844132286283,21,practicing,perimeter,probability,english,maths
216,14,M,4,283,69,1,4.483665014193686,493,233,2,9,493,243,2,2,245,104,1,0.8240693459161696,735.4648360199532,335,2,7,953,297,0,5,2431,474,2,0,1762.4679053473617,232,1,3,1260.3535898961836,639,1,5,1061.2077800866232,407,2,26.881560523345634,28,10.539449905586627,22.306387308943073,16,Only school lessons,angles,none,maths,buddhism
217,15,M,3,183,172,2,3.289038561340933,476,73,2,5,562,113,2,1,9,0,2,0.0,432.4945950628944,109,2,4,1150,492,1,13,574,553,2,0,1367.7103799818713,348,1,2,2725.0,254,2,8,505.98289628177906,480,1,61.960596213801466,37,13.048392043938343,20.11280053970534,17,Only school lessons,angles,triangle theory,science,PTS
218,15,M ,4,243,110,2,4.391607155371508,110,102,2,5,372,156,2,8,813,377,2,0.0,685.8830467648623,154,1,2,926,60,1,5,375,72,2,2,962.560776343716,54,1,0,1616.6165202258655,71,2,6,1964.5831774851029,230,0,21.222802535137916,20,28.5,21.700715344822253,14,figures,percentages,triangles,sinala,science
219,15,M ,3,41,243,2,2.3099731047286296,180,397,2,7,755,262,2,0,1387,256,1,0.2366731109232509,759.7179560662325,467,1,8,1111,886,2,6,1309,174,1,1,649.7057926060467,0,1,3,1037.75081544727,184,1,2,2174.9410719866505,355,1,31.52310433841176,Ab ,14.246557473793287,31.720957962419366,21,figures,fractions,probability,dancing,maths
220,15,F,2,137,158,2,3.4705587959168405,415,56,2,9,663,165,2,4,1263,547,2,0.23288135409329802,151.9653328448867,491,0,3,1974,164,2,10,1525,204,2,2,0.0,0,1,0,495.80698328789686,425,2,0,2100.102579643301,537,0,25.897713835387542,37,14.254062421709925,6.262178026567712,16,Only school lessons,equations,triangle theory,sinhala,home science
221,14,M ,2,131,287,1,2.1591543542778258,378,246,2,7,499,15,2,2,476,194,2,0.41619945767101246,932.2862890362617,0,1,4,864,386,1,4,2401,773,2,1,875.2030526080592,233,1,3,2156.0013362971695,895,1,0,2435.0,533,2,49.55779172469703,20,16.16231485702577,21.29769900818595,16,figures,angles,geometry,maths,science
222,15,M ,3,301,131,2,2.0,273,237,2,5,384,245,2,8,1564,717,2,0.0,951.4656774104823,682,1,7,729,401,1,7,1426,72,2,0,625.6210106405354,109,1,0,1532.30314848833,289,1,7,1792.3022928794203,564,1,48.32283198331759,9,19.1671852373685,26.59340163616103,17,figures,set theory,triangles,civics,sinhla
223,15,M ,3,201,40,1,4.469921556385305,243,262,2,5,635,157,2,5,877,503,2,0.0,1126.6404788499442,171,1,0,154,311,1,10,660,221,2,1,0.0,171,1,2,1535.1692404084667,1008,0,4,0.0,127,2,24.365788900132294,37,22.750291636125205,22.632380385286123,17,Only school lessons,fractions,decimals,history,sinhla
224,13,F,2,197,40,2,5.0,600,56,2,5,160,299,2,1,1357,427,2,0.8301700553827882,1232.8017324256252,342,2,0,0,166,2,13,1846,532,2,1,2.306268732002536,325,1,2,1703.9826259036313,473,1,3,0.0,273,2,6.0,69,28.5,18.56112994963946,17,Only school lessons,probability,triangles,maths,science
225,14,F,5,265,110,2,3.0134759636432156,211,61,2,7,230,142,2,0,954,177,2,0.9939586466017536,519.3470978004711,0,2,8,812,145,2,10,1786,72,2,1,2428.0,529,0,5,1629.2526799907507,711,2,3,2278.422616756243,348,1,22.258460323225425,8,16.68076341065177,29.556375542213996,17,figures,angles,triangle theory,buddhism,history
226,15,M,4,183,173,2,2.0,429,102,2,0,775,124,2,10,405,129,2,0.32384587992181973,617.107017338253,540,1,7,2036,437,1,5,1652,339,2,0,965.5325087769362,55,1,1,1590.0466812974196,177,2,0,0.0,306,4,36.17226839226568,10,19.54856248344522,7.992043374472596,15,Only school lessons,fractions,triangle theory,sinala,science
227,15,M,3,164,140,2,4.433637269417969,443,133,2,3,508,28,2,3,0,0,2,0.0,1389.3332299906785,0,2,5,1054,202,1,13,2431,206,2,2,1438.4469213405234,510,1,1,1565.532812104535,680,2,0,0.0,203,3,43.67683014579495,40,28.5,14.459863197841736,18,Only school lessons,fractions,decimals,buddhism,none
228,14,F,3,302,154,2,2.0,434,306,2,9,160,444,2,0,628,822,2,0.0,1255.182080122663,473,1,7,1292,251,1,8,522,575,2,0,355.52547539046213,79,0,3,2369.6040035889137,508,2,5,528.048471271521,424,2,32.61411749659069,Ab,27.770810386146817,29.235701017528413,15,practicing,decimals,decimals,none,tamil
229,14,F,2,118,293,2,3.6012793885559558,669,163,2,4,442,332,1,5,965,652,1,1.2455191184571857,376.820887923378,70,2,0,974,113,2,8,1745,177,2,0,990.9546662558536,12,1,4,1551.994522178576,0,2,7,1538.362481906289,328,2,16.29534712148219,42,24.193909961747245,24.01011274721894,15,figures,angles,roman numbers,sinala,science
230,14,F,3,214,188,2,2.3415449397637005,281,244,2,9,982,437,2,7,1249,76,2,0.0,429.61807368681116,823,1,2,311,62,1,13,1818,119,2,2,70.94682527223381,285,1,0,1918.3820267522422,785,2,1,2435.0,541,2,54.68564694699572,25,5.329928853888115,26.66569273582641,21,practicing,Tessellation,set theory,sinhala,tamil
231,14,M ,4,124,64,2,4.44384230546718,441,250,2,9,423,21,2,3,1607,1268,1,0.0,1496.3206616102636,132,2,5,830,590,1,9,1811,437,1,0,973.9528534312549,0,1,1,1791.1795767644553,379,2,3,0.0,469,4,52.557620459308325,40,13.022563056480791,3.0,12,figures,perimeter,area,sinala,english
232,15,M ,2,85,238,2,2.642128974842029,340,315,2,10,637,15,2,5,984,181,2,1.5340103603901096,1118.9109356227123,304,2,7,367,323,1,13,2298,253,2,0,0.0,0,1,0,1409.2754403947922,246,0,4,2435.0,0,3,51.175771625018186,20,23.972604905885916,8.889476026611094,12,Only school lessons,set theory,circle theory,ict,english
233,14,M ,2,171,260,2,3.386380172254239,243,169,2,6,552,89,2,4,782,312,1,0.7989491667366031,1176.1417246070873,78,1,1,2036,0,1,7,1959,623,2,0,2428.0,172,0,2,2648.2245238814357,144,2,1,2435.0,252,0,11.583979683804959,8,12.974160982018784,24.40245839171171,19,figures,percentages,decimals,science,health
234,15,M ,2,165,236,1,3.1687193239112634,296,228,2,0,762,361,2,1,21,0,2,0.0,911.437326633671,0,2,3,6,534,1,10,1598,165,2,1,996.6277748736975,101,1,1,1464.81243805453,204,2,5,1953.1195232679752,205,2,46.87732900263205,15,25.35872298715556,14.277501501642067,21,practicing,equations,set theory,home science,home science
235,14,F,3,116,240,2,3.463405163841443,586,211,2,8,1118,442,2,2,1120,615,1,0.0,980.1522630800961,53,1,7,331,398,1,13,1374,1141,2,1,808.3655257714158,198,1,0,2725.0,460,2,0,599.4193283826991,290,1,23.156956055161338,42,28.5,17.550319975920214,12,Only school lessons,fractions,none,english,geography
236,15,M ,2,172,40,2,2.8230103585598165,780,379,2,7,299,85,2,5,883,0,1,0.0,527.8065422861828,521,0,6,1726,312,1,13,1982,661,2,2,1518.939662392133,158,1,6,1990.2587757205706,1143,2,1,1644.0432153653228,319,3,49.76257510973471,15,21.895747469496705,12.742957366369993,10,figures,equations,roman numbers,english,tamil
237,15,F,4,181,40,2,3.1422056923656663,189,56,2,5,160,105,1,3,956,0,2,1.3529832448026344,131.28989915158638,332,2,0,1852,345,0,4,1753,396,2,0,2415.251480443175,56,0,1,1076.6536879005462,185,2,1,865.5739857073976,159,2,38.69829106268124,5,10.774838689366248,30.67303451949435,15,Only school lessons,probability,none,health,history
238,14,F,2,159,264,2,2.577835701322117,374,261,2,5,596,235,2,1,790,227,1,0.3925178722692598,152.53800626871725,670,2,3,2036,152,1,9,984,531,2,3,1083.579222018065,466,1,2,1320.1711084185517,139,1,7,0.0,283,1,32.616597924541516,2,28.5,8.867506260360653,12,figures,volume,fractions,none,english
239,14,F,2,120,40,2,3.943802661266158,836,159,2,4,677,63,2,5,519,0,2,0.0,425.1828337791104,491,1,6,911,574,2,0,1436,570,2,0,1106.2211234668107,313,1,0,1237.9705063416986,423,1,7,1253.4770136455732,502,2,37.93652028194633,23,19.548866770020137,35.19104219246664,14,figures,Tessellation,simultaneous equations,health,health
240,14,F,5,265,198,2,5.0,313,73,2,1,170,375,2,6,415,622,2,0.0,0.0,369,2,8,2013,0,2,12,2312,203,2,2,1871.709305325217,418,1,1,1290.3968265108817,0,0,3,1189.0333470317257,298,4,62.5,20,25.60476153947303,7.276878594309565,17,figures,angles,percentages,civics,science
241,13,M,5,86,178,2,2.0,543,405,2,4,641,277,2,5,0,132,1,0.4275715120920791,259.0719984546588,648,1,5,1476,377,1,13,1556,840,2,1,1073.570422099229,721,1,1,825.0650188989774,687,2,5,1140.7859965573725,83,4,14.014352565741067,42,28.5,16.09762294918413,21,Only school lessons,number sequeces,area,history,none
242,13,M ,3,212,194,1,3.7740809117610894,756,88,2,11,320,59,2,5,452,698,2,1.2128274371111984,1400.5060677897118,97,1,9,1586,254,2,11,1550,235,2,0,0.0,418,1,2,1906.0113571818513,696,2,1,1416.553184701506,106,0,7.364358069247547,20,8.211121778922097,13.225498452201279,19,practicing,decimals,percentages,home science,tamil
243,14,M,6,191,102,2,4.340465278730996,110,141,2,6,601,194,2,6,1264,435,2,0.3668864473311318,1159.513935549116,13,1,4,682,451,1,5,1848,177,2,0,1801.8051302748613,551,1,0,1168.9220889092076,0,1,5,2435.0,250,3,52.13979628629109,7,11.42554727535751,26.154545062033513,18,practicing,equations,percentages,sinhala,buddhism
244,15,F,4,206,40,1,4.7026021018311415,569,467,2,6,245,358,2,2,688,392,1,1.9962828217471595,201.6849830348068,344,1,0,1713,438,1,8,1329,510,2,0,1230.173122654341,283,0,1,2725.0,1115,2,5,1903.2396250095371,171,0,40.818875618596294,35,5.824124855033936,22.915571854804384,21,practicing,equations,roman numbers,science,maths
245,15,M ,3,147,140,1,5.0,330,56,2,9,300,15,2,6,733,505,2,0.0,1640.1389379862096,466,2,3,731,5,2,7,1828,92,2,1,690.0240558570565,856,1,3,321.3376309842015,382,1,0,965.748420523857,427,4,56.19559377327644,37,28.5,16.87399752552861,18,Only school lessons,percentages,area,none,science
246,14,M,3,179,131,2,2.480250979019771,268,242,2,4,264,144,2,0,1210,75,1,0.0,464.9697500747809,611,2,7,1361,150,2,13,1623,550,1,2,609.7200020893125,312,1,1,2725.0,179,2,2,2435.0,275,3,28.98006849934876,42,15.980981252558461,25.411922942551826,18,Only school lessons,probability,percentages,home science,sinhla
247,15,M ,3,189,141,2,3.213997967152896,425,157,2,6,320,70,1,0,266,522,1,0.6909791411826376,194.50147989412847,225,2,4,1607,120,2,2,1538,721,2,1,1080.5340116609389,0,0,0,2602.3198495897295,0,1,6,1802.474183070128,342,1,47.81925444183152,Ab ,2.8742695606722695,8.650996268841444,17,practicing,volume,geometry,dancing,history
248,15,M ,3,256,115,2,2.5661063239543926,143,200,2,11,446,168,2,1,684,244,2,1.201172785371468,1168.5194530998551,500,1,9,904,613,2,5,2076,475,2,0,1923.3246491390903,206,1,1,1787.416448257966,0,1,0,0.0,136,2,18.86425660810309,8,9.932100244046879,28.34370731246097,15,figures,equations,decimals,history,none
249,15,F,4,94,220,2,3.51274375846377,367,256,2,7,160,224,2,9,406,51,2,0.0,1458.1886917618192,0,1,8,1295,535,2,12,2431,898,2,2,1290.7354420340248,675,1,2,1573.0866776524485,0,2,5,2435.0,251,3,62.5,28,14.44064927134542,5.161345166596002,13,Only school lessons,area,volume and capacity,science,health
250,14,M ,2,254,99,2,3.191151198182366,227,165,2,11,666,212,2,0,530,18,2,0.0,979.2635709640864,504,0,8,626,5,2,11,2108,336,2,1,686.8016456295558,638,1,3,2252.264693724176,363,1,5,2435.0,565,0,22.744142842479942,20,11.643660617704072,22.1731862518406,15,Only school lessons,area,decimals,english,sinhla
251,15,M ,4,219,60,2,2.0,167,56,2,11,187,15,2,1,31,593,1,0.5470437586803103,950.9169880248969,457,2,9,2033,277,1,5,617,592,2,1,1862.0346971631095,0,1,2,2224.12681323101,422,1,4,2009.5246789892153,425,1,50.61551686738433,15,26.14113255212302,33.833923595039096,20,Only school lessons,perimeter,triangle theory,none,science
252,15,M ,2,122,172,2,4.562785792045408,178,56,2,11,872,15,2,7,234,286,2,0.7874709164491577,623.5806477636315,91,2,3,797,306,2,7,2431,279,2,1,1625.6233676587294,537,1,4,1940.9972988403267,251,1,5,530.066068465965,307,4,54.32846722529332,7,22.02115183858591,3.317931411453543,15,practicing,fractions,percentages,science,sinhla
253,14,M ,2,94,207,2,2.7228254967409784,571,476,2,4,259,15,2,6,0,25,1,0.3529469832989086,1025.9995910841362,411,0,6,2036,520,0,6,1567,233,2,1,2428.0,326,1,0,1529.4069695494181,403,2,6,1465.9686985227393,480,1,24.50268539804562,15,9.3524833906669,9.336720738937764,14,practicing,area,triangles,home science,sinhla
254,13,F,4,107,206,2,3.476329867614793,345,257,2,6,379,169,2,8,580,511,2,0.0,695.0625507872162,496,2,1,1529,53,1,0,1260,875,2,0,887.4659612926218,425,0,0,1831.0800669016685,0,2,0,1424.451599341092,135,1,26.561202907928823,15,2.0,9.3169689279588,21,figures,equations,percentages,civics,science
255,13,M ,3,180,165,2,2.7835530657035963,535,223,2,7,160,286,2,5,979,356,1,0.0,1443.355286427356,307,2,4,1613,250,1,4,2140,544,2,0,1386.234867554715,0,1,0,1574.2307103155829,198,2,3,2285.176878780511,646,3,10.007041935885393,39,19.32267493010646,37.0,13,Only school lessons,equations,geometry,english,buddhism
256,14,F,2,188,161,2,5.0,405,56,2,7,549,132,2,5,988,631,1,0.0,1523.1491148223963,791,2,8,1450,111,2,3,1793,435,2,0,1712.1816705109068,195,1,0,2602.6365638727257,827,0,0,0.0,184,4,48.13756153238874,2,2.8035367389196413,3.0,17,Only school lessons,area,area,sinala,english
257,14,M ,5,40,210,1,2.513343236448147,467,162,1,4,396,149,2,6,290,622,2,1.8323204989834547,768.5436104384506,237,1,6,1203,454,1,7,1147,887,2,1,2343.3934999386024,113,1,3,1489.5387881532465,0,2,0,579.3449297793734,301,0,54.89634279470244,25,15.46494270122407,6.581474248956493,21,figures,equations,set theory,buddhism,geography
258,14,M,5,196,232,2,3.2500223105968913,344,459,2,2,485,183,2,0,445,564,2,2.190747872242978,974.6356815955221,547,1,2,1744,191,1,6,1401,797,2,0,636.6242843100737,493,0,1,1285.0590458629074,369,2,4,804.1903294360902,154,0,39.527352804102904,20,9.638560290825389,19.35805452070784,21,practicing,probability,none,science,english
259,14,M,3,42,152,2,3.983405790928691,264,126,2,4,647,94,2,0,920,291,2,0.0,216.21584637033857,153,1,4,888,574,2,8,401,224,2,2,612.6704961105415,518,1,2,1742.9709645360172,0,2,3,1848.2241234451108,199,4,32.314726226726954,78,7.5811021929459415,18.149133401144436,19,practicing,area,simultaneous equations,history,none
260,14,M ,4,175,337,2,2.0,364,56,2,8,160,15,2,2,937,0,2,0.39054212536229066,919.2367007474079,471,0,9,1462,195,1,13,165,227,2,0,1480.2815619256398,10,0,3,1445.7953788233958,0,2,3,2166.370845982963,0,3,23.813835946559422,35,5.8135810188459764,33.19980313580686,19,Only school lessons,percentages,none,sinala,none
261,15,M,5,151,182,2,3.585011983011877,223,147,2,4,611,207,2,4,1329,829,1,0.0,434.6435273042232,364,1,3,1132,82,2,12,1830,72,2,0,1604.2735932548744,586,1,1,1917.5232277137611,73,1,6,2435.0,16,2,62.5,69,10.454148212115697,14.067069514898046,16,figures,percentages,simultaneous equations,ict,english
262,14,F,4,185,221,2,4.66717464654967,403,56,2,5,169,355,2,8,1052,111,1,0.0,1157.9700356039452,309,2,2,834,419,2,11,2431,107,2,1,0.0,2,1,0,2231.133213030656,44,0,2,0.0,589,4,27.07921059567311,3,23.170709241369032,8.154676545626428,12,Only school lessons,equations,none,sinhala,history
263,14,F,2,337,306,1,2.93752039024294,432,416,2,5,183,336,2,1,1165,364,1,0.7203937853959916,1133.7955663843886,62,0,4,889,198,1,13,2381,950,2,0,0.0,0,1,0,2725.0,904,1,7,1996.1872250558777,606,0,39.03883383206962,39,9.806317039078442,21.605375344050167,17,figures,equations,probability,history,science
